"Name";"Description"
"FRAM-B.ST.ST";"Fram Skandinavien"
"F2M.ST.ST";"Free2Move"
"FREEM.ST.ST";"Freemelt"
"FREJA.ST.ST";"Freja eID"
"FRILAN.ST.ST";"Frilans"
"FRNT-B.ST.ST";"Front Ventures"
"FSPORT.ST.ST";"FSport"
"FXI.ST.ST";"FX International"
"G5EN.ST.ST";"G5 Entertainment"
"GABA.ST.ST";"Gabather"
"GCOR.ST.ST";"Gaming Corps"
"GAPW-B.ST.ST";"Gapwaves"
"GARO.ST.ST";"Garo"
"GARPCO-B.ST.ST";"Garpco"
"GPX.ST.ST";"Gasporox"
"GENI.ST.ST";"Generic Sweden"
"GPG.ST.ST";"Genova Property"
"GENO.ST.ST";"Genovis"
"G2M.ST.ST";"Gentoo Media"
"GETI-B.ST.ST";"Getinge"
"GIG-SDB.ST.ST";"GiG Software"
"GIGA.ST.ST";"Gigasun"
"GTG.ST.ST";"Gold Town Games"
"GOMERO.ST.ST";"Gomero Group"
"GOMX.ST.ST";"GomSpace"
"BTCX.ST.ST";"Goobit Group"
"GBK.ST.ST";"Goodbye Kansas"
"GOSOL.ST.ST";"Gosol Energy"
"GOTL-A.ST.ST";"Gotlandsbolaget A"
"GOTL-B.ST.ST";"Gotlandsbolaget B"
"GRANGX.ST.ST";"Grangex"
"GREAT.ST.ST";"Greater Than"
"GREEN.ST.ST";"Green Landscaping"
"VISC.ST.ST";"Gruvaktiebolaget Viscaria"
"GRNG.ST.ST";"Gränges"
"GUARD.ST.ST";"Guard Therapeutics"
"GGEO.ST.ST";"Guideline Geo"
"GJAB.ST.ST";"Gullberg & Jansson"
"HDW-B.ST.ST";"H&D Wireless"
"HACK.ST.ST";"Hacksaw"
"HAKI-A.ST.ST";"HAKI Safety A"
"HAKI-B.ST.ST";"HAKI Safety B"
"HAMLET-B.ST.ST";"Hamlet BioPharma"
"SHB-A.ST.ST";"Handelsbanken A"
"SHB-B.ST.ST";"Handelsbanken B"
"HNSA.ST.ST";"Hansa Biopharma"
"HANZA.ST.ST";"Hanza"
"HAV-B.ST.ST";"Havsfrun Investment"
"HAYPP.ST.ST";"Haypp Group"
"HEBA-B.ST.ST";"Heba"
"HEGR.ST.ST";"Hedera"
"HELIO.ST.ST";"Heliospectra"
"HEM.ST.ST";"Hemnet"
"HMPLY.ST.ST";"Hemply Balance"
"HM-B.ST.ST";"Hennes & Mauritz"
"HERNO-B.ST.ST";"Hernö Gin"
"HEXA-B.ST.ST";"Hexagon"
"HTRO.ST.ST";"Hexatronic"
"HEXI.ST.ST";"Hexicon"
"HPOL-B.ST.ST";"Hexpol"
"HIFA-B.ST.ST";"Hifab"
