"Name";"Description"
"INTEA-D.ST";"Intea Fastigheter D"
"INTEG-B.ST";"Integrum"
"INT.ST";"Intellego Technologies"
"IPCO.ST";"International Petroleum"
"IVACC.ST";"Intervacc"
"INTRUM.ST";"Intrum"
"IMS.ST";"Invent Medic"
"INVE-A.ST";"Investor A"
"INVE-B.ST";"Investor B"
"INWI.ST";"Inwido"
"IVSO.ST";"Invisio"
"IRIS.ST";"Irisity"
"IRLAB-A.ST";"IRLAB Therapeutics"
"ISOFOL.ST";"Isofol Medical"
"ITAB.ST";"ITAB Shop Concept"
"ITECH.ST";"I-Tech"
"IZAFE-B.ST";"iZafe"
"JLT.ST";"JLT Mobile"
"JM.ST";"JM"
"JOMA.ST";"John Mattson"
"JDT.ST";"JonDeTech Sensors"
"GATE.ST";"Jumpgate"
"K2A-B.ST";"K2A"
"K33.ST";"K33"
"KABE-B.ST";"Kabe"
"KAKEL.ST";"Kakel Max"
"KAPIAB.ST";"Kallebäck Property"
"KAMBI.ST";"Kambi"
"KAN.ST";"Kancera"
"KARNEL-B.ST";"Karnell Group"
"KAR.ST";"Karnov"
"KDEV.ST";"Karolinska Development"
"KAV.ST";"Katalysen Ventures"
"KBC.ST";"KB Components"
"KEBNI-B.ST";"KebNi"
"KENH.ST";"Kentima"
"KFAST-B.ST";"K-Fast Holding"
"KILI.ST";"Kiliaro"
"BRAVE.ST";"Kinda Brave"
"KINV-A.ST";"Kinnevik A"
"KINV-B.ST";"Kinnevik B"
"KJELL.ST";"Kjell Group"
"KLARA-B.ST";"KlaraBo"
"KLAR.ST";"Klaria Pharma"
"KLIMAT.ST";"Klimator"
"KNOW.ST";"KnowIT"
"KONT.ST";"Kontigo Care"
"KOBR-B.ST";"Kopparbergs"
"KRONA.ST";"Krona Public Real Estate"
"LAGR-B.ST";"Lagercrantz"
"LAMM-B.ST";"Lammhults Design"
"LGOLD-B.ST";"Lappland Guldprospektering"
"LATO-B.ST";"Latour"
"LATF-B.ST";"Latvian Forest"
"LEA.ST";"Lea Bank"
"LEMSE.ST";"Leading Edge Materials"
"LEVBIO.ST";"Level Bio"
"LIDDS.ST";"LIDDS"
"LIFCO-B.ST";"Lifco"
"LCLEAN.ST";"Lifeclean"
"LAIR.ST";"LightAir"
"LIGR.ST";"Lightning Group"
"LIME.ST";"Lime Technologies"
"LINC.ST";"Linc"
"LIAB.ST";"Lindab"
"LINKAB.ST";"Link Prop"
