name;description
OPTI;OptiCept Technologies
ORX;Orexo
ORGC;OrganoClick
ORRON;Orrön Energy
ORTI A;Ortivus A
ORTI B;Ortivus B
ORT B;Ortoma
OSSD;OssDsign
OURLIV;OurLiving
OVZON;Ovzon
OXE;OXE Marine
PNDX B;Pandox
PDX;Paradox Interactive
PAX;Paxman
PEAB B;Peab
PMED;Peptonic Medical
PERP B;Perpetua Medical
SX4520PI;Personal Care
SX402040PI;Personal Goods
PEXA B;PExA
SX201030PI;Pharmaceuticals
PHAL;PharmaLundensis
PHI;Phase Holographic
PCAT;Photocat
PTRK;Physitrack
PIERCE;Pierce Group
PILA;Pila Pharma
PION B;PION Group
PIXEL;PixelFox
PLAZ B;Platzer Fastigheter
PLEJD;Plejd
POLAR;PolarCool
POLYG;Polygiene
POLYMER;Polymer Factory
PCELL;PowerCell
PREBON;Prebona
PRCO B;Precio Fishbone
SX551030PI;Precious Metals & Mining
PREC;Precise Biometrics
PCOM B;Precomp Solutions
SNX;Premium Snacks
PHOL PREF;Preservia Holding Pref
PHYR B;Preservia Hyresfastigheter
PHYR PREF;Preservia Pref
PRESRV;Preservium Property
PREV B;Prevas
PRIC B;Pricer
PRISMA;Prisma Properties
PACT;Proact IT
PROF B;ProfilGruppen
PRFO;Profoto
PENG B;Projektengagemang
PRLD;Prolight Diagnostics
PRO;Promimic
PLUN;ProstaLund
PROGEN;Prostatype Genomics
PROVIT;Provide IT
QBNK;QBank
QBEN;Qben Infra
QBRICK;Qbrick
QIIWI;Qiiwi Games
QAIR;QleanAir
QLIFE;QLife
QLINEA;Q-Linea
QLIRO;Qliro
QLOSR B;Qlosr Group
QCORE;Qlucore
QSYS;Qualisys
QUIA;QuiaPEG Pharmaceuticals
RAIL;Railcare
RMDX;Railway Metrics & Dynamics
RAKE;Raketech
RAMSH;Ramlösa Shipping
RLOS B;RanLOS
RPLAN;Ranplan
RATO A;Ratos A
RATO B;Ratos B
RAY B;RaySearch Laboratories
RAYTL;Raytelligence
SX351010PI;Real Estate Investment
REAL;Real Fastigheter
REALFI;Realfiction
RECY B;Recyctec
REDS;Redsense Medical
REFINE;Refine Group
